,w475959205,w475960231,w477684043,w526337678,w533804140,w541438316,w541914139,w574606561,w592870302,w633724575,w246792829,w469681591,w471892367,w482824940,w506294760,w533818162,w534573301,w592487869,w592781545,w1083279101,w538115135,w539744154,w1086210743,w1086210744,w541965088,w541965085,w534572399,w534572395,w534565230,w535349143
6120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6125,34.0028,44.15569999999999,36.4387,39.7907,42.4884,40.6224,45.5616,37.6039,37.9923,44.7975,34.6192,34.2941,51.8815,34.1421,32.1622,45.5362,39.111,35.8266,34.9148,34.0915,41.1036,38.596,33.432900000000004,41.34,47.6302,33.0994,42.4882,42.8977,43.5606,40.9264
6126,207.7138,313.7942,218.8652,234.5182,230.0444,228.7854,294.7896,218.0444,217.7708,285.034,199.5592,207.5086,303.205,212.7626,185.8492,315.3952,234.997,203.8556,176.1898,194.784,251.6076,219.919,197.8214,256.588,308.7732,192.9094,289.2342,291.5192,265.3176,218.2774
6127,363.2801,567.8202999999999,377.9694,398.9231,374.7374,380.9983,515.1243999999999,370.1958,367.6046,495.4698,340.6035999999999,361.3367,503.9017,374.7269,319.867,564.7984,403.45769999999993,344.9246,282.9389,331.74799999999993,433.4806,369.7651,342.3299,444.2796,538.4522,332.17869999999994,517.0642999999999,520.5204,454.2172,354.2179
6128,543.2401,784.9225999999999,553.9698999999999,569.752,526.0386,541.8883,707.0427999999999,538.7623,533.6931,682.9979,509.682,539.4381999999999,667.0805999999999,558.4307999999999,490.7232,775.4094,578.6231,510.9323999999999,429.2845,499.56049999999993,612.1474000000001,534.3182999999999,516.6605999999999,626.0708,731.0708,504.0045,721.6420999999999,724.8018999999999,631.1062,503.9031
6129,718.4054,937.2892,719.6926,722.5663999999999,663.7216,688.8281999999999,846.8916,698.2582,691.1134000000001,824.0701999999999,679.4083999999999,713.0468,776.7307999999999,734.2815999999999,669.29,921.1136,735.0698,675.6364,590.9966,670.6769999999999,762.9504000000001,689.2274,692.0116,777.0404,864.1547999999999,679.7077999999999,875.7702,877.4566,773.0688,646.3586
