w246792829,w469681591,w482824940,w506294760,w592487869
92.9424,96.58849999999998,98.7359,99.2502,89.1398
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
30.344,30.660400000000003,30.8626,30.1304,30.3628
68.6108,68.0574,67.7264,67.89680000000001,69.0764
121.2964,120.4204,119.892,120.3796,121.9356
193.1632,193.6627,193.9935,192.2698,193.4478
330.32679999999993,342.2539,349.6259,334.2838,325.5314
457.8408,486.4259,503.9429,474.5778,443.0234
94.566,93.7038,93.1802,93.8328,95.1176
73.7644,73.0919,72.6835,73.1926,74.19460000000001
42.02159999999999,41.95569999999999,41.9109,42.195,41.9586
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
29.4448,29.7509,29.9469,29.2198,29.471400000000003
176.3376,189.5513,197.8123,176.22060000000002,173.0878
146.23,146.30669999999998,146.37529999999998,145.2382,146.66539999999998
128.6116,127.4385,126.7261,127.6138,129.3622
257.8484,261.4667,263.7157,258.4454,256.6702
236.7012,238.998,240.4142,237.62760000000003,235.7024
140.3252,139.5883,139.1409,139.6934,140.799
101.688,101.3795,101.1885,101.601,101.805
59.344,60.075100000000006,60.4999,60.8866,58.4542
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
11.124,11.0347,10.9813,11.0082,11.1994
83.50319999999999,83.3984,83.3498,82.69200000000001,83.9012
76.5992,75.9007,75.47649999999999,76.0058,77.0458
259.5536,265.9364,269.91919999999993,259.8632,257.816
245.2924,247.7925,249.3519,245.4442,244.5978
109.6976,108.6971,108.0895,108.8474,110.3374
160.4056,160.2185,160.1051,160.2358,160.53020000000004
89.9656,89.3441,88.96549999999999,89.49340000000001,90.3374
54.8864,55.30120000000001,55.5392,55.906400000000005,54.3152
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
11.124,11.0347,10.9813,11.0082,11.1994
91.4176,91.5324,91.6222,90.5512,91.786
71.8716,71.2159,70.8177,71.3142,72.291
65.2496,64.6545,64.2931,64.74380000000001,65.6302
92.6732,91.8278,91.3144,91.9544,93.214
201.5076,201.4477,201.4199,201.045,201.7346
53.900000000000006,53.40830000000001,53.1097,53.48180000000001,54.2146
50.118,49.6612,49.3838,49.729200000000006,50.4104
82.4524,84.4482,85.6182,86.16640000000001,80.2512
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
100.9752,113.4504,121.22979999999998,101.82,97.4692
153.6416,160.9659,165.5577,152.9642,152.12099999999998
210.8964,216.8508,220.5906,210.018,209.8104
212.3848,213.4527,214.1381,211.5226,212.513
246.0048,248.0379,249.3099,245.9418,245.5254
109.6976,108.6971,108.0895,108.8474,110.3374
63.3604,62.7834,62.433,62.869600000000005,63.729600000000005
198.236,203.3423,206.4017,204.5738,194.0546
294.0816,315.5375,328.1921,330.3378,272.1002
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
12.9832,12.8792,12.816999999999998,12.8488,13.0708
88.0756,87.9142,87.8314,87.208,88.5136
176.7404,178.59210000000002,179.7713,175.6898,176.759
117.2604,116.1917,115.5427,116.3514,117.9442
62.4148,61.8457,61.5001,61.9306,62.77900000000001
217.8984,218.3731,218.6733,217.7298,217.857
79.43440000000001,78.7105,78.2709,78.8182,79.89779999999999
130.61239999999998,131.011,131.24339999999998,131.4152,130.1448
47.3908,47.2318,47.131,47.4592,47.39919999999999
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
61.62519999999999,65.6629,68.1873,61.585,60.63419999999999
56.55760000000001,56.1028,55.8308,55.9696,56.9408
114.422,113.378,112.744,113.534,115.09
176.58120000000002,175.9177,175.5265,175.4538,177.2638
394.3288,412.6968,424.044,400.7032,386.8152
245.3848,247.3791,248.6107,246.097,244.5598
405.0412,425.8903,438.5549,422.6134,391.775
103.2296,102.6653,102.3203,102.8606,103.5398
32.1512,31.8581,31.6801,31.9022,32.3386
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
170.2568,198.9357,216.8271,171.83659999999998,162.363
277.3596,313.6216,336.2869999999999,277.2804,268.3304
383.3316,427.7932,455.5634,384.21,371.8136
538.4988,593.3366,627.3922,548.9639999999999,519.9928
606.7664,659.2845,691.6989,626.4182000000001,584.6298
595.7708,640.2362,667.4856,621.7616,572.742
570.2403999999999,610.9331999999999,635.6511999999999,604.5604,544.3372
