Time,Hourly Residential Net Cost (€),Hourly Industrial Net Cost (€),Hourly Commercial Net Cost (€),Total Net Cost (€)
2019-03-12 01:00:00,137.05200000000002,11.24118,45.368775,193.661955
2019-03-12 02:00:00,133.44728999999998,11.425253999999999,44.173518,189.04606199999998
2019-03-12 03:00:00,129.30794600000002,11.065671140000001,42.803842350000004,183.17745949000002
2019-03-12 04:00:00,127.94040000000001,11.203164000000001,42.35238,181.495944
2019-03-12 05:00:00,138.9975,12.538283999999999,46.013009999999994,197.548794
2019-03-12 06:00:00,79.845717702016,14.649554629744001,54.70470017156799,149.199972503328
2019-03-12 07:00:00,41.40229396080001,15.084564965699998,54.77881064415,111.26566957065
2019-03-12 08:00:00,-24.485552459279976,16.151290876116,50.001223780728,41.66696219756402
2019-03-12 09:00:00,-57.22143296743998,18.73023398638,60.03227322064001,21.541074239580027
2019-03-12 10:00:00,-58.84627451327999,18.978830987424004,63.90837960739201,24.040936081536024
2019-03-12 11:00:00,-132.30100923258794,16.575212583083,58.297849659434,-57.42794699007094
2019-03-12 12:00:00,-124.62430475426396,14.475718705611,54.148380222246004,-56.000205826406955
2019-03-12 13:00:00,132.87448000912002,13.397854714280001,54.500839765664004,200.77317448906405
2019-03-12 14:00:00,-61.44252942800001,13.045197584999999,48.331547684,-0.06578415900001033
2019-03-12 15:00:00,1.7407967687599988,14.358033807950001,51.05763430894,67.15646488565
2019-03-12 16:00:00,89.26495644653998,16.065126147104998,59.360339840129996,164.69042243377498
2019-03-12 17:00:00,301.21575,23.664340260000003,99.71349245,424.59358271
2019-03-12 18:00:00,357.29347299999995,24.39462312,118.27643135,499.96452746999995
2019-03-12 19:00:00,419.3573999999999,26.605992,138.822565,584.7859569999999
2019-03-12 20:00:00,334.64610000000005,19.757367000000002,110.7802575,465.18372450000004
2019-03-12 21:00:00,283.638459,16.97868276,93.89109470000001,394.50823646000003
2019-03-12 22:00:00,211.956404,12.814985040000002,70.16684179999999,294.93823083999996
2019-03-12 23:00:00,176.23199999999997,11.49988,58.337999999999994,246.06987999999996
2019-03-13 00:00:00,139.015982,10.47677988,46.01941155,195.51217343000002
2019-03-13 01:00:00,110.66747,8.9592714,36.634074,156.2608154
2019-03-13 02:00:00,105.00314,8.828002399999999,34.760631499999995,148.5917739
2019-03-13 03:00:00,124.5258,10.566864,41.22153,176.31419400000001
2019-03-13 04:00:00,109.04157000000002,9.6838236,36.095994000000005,154.82138760000004
2019-03-13 05:00:00,143.35244,12.569003639999998,47.453248099999996,203.37469174
2019-03-13 06:00:00,91.97081213999999,16.19506298625,61.11338784525,169.2792629715
2019-03-13 07:00:00,16.36921854101999,19.784838521085,72.34805527581001,108.50211233791501
2019-03-13 08:00:00,-40.11931989977998,26.778995185921,84.695899162886,71.35557444902702
2019-03-13 09:00:00,-59.703841107504054,29.821402486700002,96.5363377148,66.65389909399595
2019-03-13 10:00:00,-194.53907177452794,27.687620824302,95.275467954294,-71.57598299593194
2019-03-13 11:00:00,-197.86911107870398,23.410895488380003,82.45883577371201,-91.99937981661198
2019-03-13 12:00:00,-154.57935501618,18.869044372903,72.33668209587199,-63.37362854740499
