time,P,G(i),H_sun,T2m,WS10m,Int
20190113:2310,0.0,0.0,0.0,1.15,0.83,0.0
20190114:0010,0.0,0.0,0.0,0.89,0.9,0.0
20190114:0110,0.0,0.0,0.0,0.57,0.62,0.0
20190114:0210,0.0,0.0,0.0,0.17,0.55,0.0
20190114:0310,0.0,0.0,0.0,-0.13,0.41,0.0
20190114:0410,0.0,0.0,0.0,-0.53,0.48,0.0
20190114:0510,0.0,0.0,0.0,-0.26,0.48,0.0
20190114:0610,0.0,0.0,0.0,0.01,0.48,0.0
20190114:0710,12.11,25.51,5.18,1.02,0.69,0.0
20190114:0810,50.53,72.9,13.64,1.86,0.69,0.0
20190114:0910,122.27,158.85,20.4,3.08,0.48,0.0
20190114:1010,75.73,102.57,24.91,3.72,0.28,0.0
20190114:1110,282.99,346.24,26.64,4.16,0.62,0.0
20190114:1210,382.76,459.14,25.37,5.09,1.03,0.0
20190114:1310,102.66,133.18,21.27,4.75,1.72,0.0
20190114:1410,406.5,481.35,14.82,5.46,1.52,0.0
20190114:1510,273.94,328.98,6.59,5.21,1.1,0.0
20190114:1610,0.0,0.0,0.0,3.46,1.03,0.0
20190114:1710,0.0,0.0,0.0,3.38,0.9,0.0
20190114:1810,0.0,0.0,0.0,2.35,0.97,0.0
20190114:1910,0.0,0.0,0.0,2.93,0.97,0.0
20190114:2010,0.0,0.0,0.0,2.37,1.03,0.0
20190114:2110,0.0,0.0,0.0,1.88,0.97,0.0
20190114:2210,0.0,0.0,0.0,1.66,0.76,0.0
20190114:2310,0.0,0.0,0.0,1.62,0.69,0.0
20190115:0010,0.0,0.0,0.0,1.47,0.9,0.0
20190115:0110,0.0,0.0,0.0,0.95,1.24,0.0
20190115:0210,0.0,0.0,0.0,0.1,1.38,0.0
20190115:0310,0.0,0.0,0.0,0.36,1.31,0.0
20190115:0410,0.0,0.0,0.0,0.21,1.24,0.0
20190115:0510,0.0,0.0,0.0,-0.38,1.24,0.0
20190115:0610,0.0,0.0,0.0,-0.75,1.24,0.0
20190115:0710,8.33,20.05,5.26,-0.76,1.03,0.0
