datetime,date,hour,SUD [Eur/MWh],SUD [Eur/Wh]
2019-01-18 20:00:00,20190118,21,71,"0,000007074"
2019-01-18 21:00:00,20190118,22,67,"0,000006711"
2019-01-18 22:00:00,20190118,23,65,"0,000006519"
2019-01-18 23:00:00,20190118,24,62,"0,000006241"
2019-01-19 00:00:00,20190119,1,65,"0,00000649983"
2019-01-19 01:00:00,20190119,2,62,"0,000006241"
2019-01-19 02:00:00,20190119,3,61,"0,000006111"
2019-01-19 03:00:00,20190119,4,61,"0,000006071"
2019-01-19 04:00:00,20190119,5,60,"0,000006037"
2019-01-19 05:00:00,20190119,6,61,"0,000006092"
2019-01-19 06:00:00,20190119,7,64,"0,000006358"
2019-01-19 07:00:00,20190119,8,68,"0,000006762"
2019-01-19 08:00:00,20190119,9,73,"0,000007334"
2019-01-19 09:00:00,20190119,10,77,"0,0000077"
2019-01-19 10:00:00,20190119,11,72,"0,000007192"
2019-01-19 11:00:00,20190119,12,68,"0,000006825"
2019-01-19 12:00:00,20190119,13,67,"0,000006695"
2019-01-19 13:00:00,20190119,14,64,"0,00000642"
2019-01-19 14:00:00,20190119,15,64,"0,000006393"
2019-01-19 15:00:00,20190119,16,64,"0,000006372"
2019-01-19 16:00:00,20190119,17,68,"0,000006815"
2019-01-19 17:00:00,20190119,18,77,"0,000007685"
2019-01-19 18:00:00,20190119,19,78,"0,000007768"
2019-01-19 19:00:00,20190119,20,78,"0,000007768"
2019-01-19 20:00:00,20190119,21,70,"0,000007"
2019-01-19 21:00:00,20190119,22,67,"0,0000067"
2019-01-19 22:00:00,20190119,23,66,"0,000006602"
2019-01-19 23:00:00,20190119,24,63,"0,000006257"
2019-01-20 00:00:00,20190120,1,67,"0,000006669"
2019-01-20 01:00:00,20190120,2,63,"0,000006341"
2019-01-20 02:00:00,20190120,3,60,"0,000006044"
2019-01-20 03:00:00,20190120,4,59,"0,000005859"
2019-01-20 04:00:00,20190120,5,59,"0,00000586"
2019-01-20 05:00:00,20190120,6,59,"0,000005901"
2019-01-20 06:00:00,20190120,7,60,"0,00000596"
2019-01-20 07:00:00,20190120,8,62,"0,000006194"
2019-01-20 08:00:00,20190120,9,63,"0,000006322"
2019-01-20 09:00:00,20190120,10,64,"0,000006402"
2019-01-20 10:00:00,20190120,11,66,"0,000006629909"
2019-01-20 11:00:00,20190120,12,66,"0,000006615"
2019-01-20 12:00:00,20190120,13,65,"0,000006511994"
2019-01-20 13:00:00,20190120,14,62,"0,000006241"
2019-01-20 14:00:00,20190120,15,61,"0,000006092"
2019-01-20 15:00:00,20190120,16,62,"0,000006241"
2019-01-20 16:00:00,20190120,17,64,"0,000006446"
2019-01-20 17:00:00,20190120,18,71,"0,000007093"
2019-01-20 18:00:00,20190120,19,77,"0,0000077"
