full_id,osm_id,osm_type,Area
w484126508,484126508,way,"361,43"
w484126509,484126509,way,"560,38"
w484126510,484126510,way,"349,49"
w484126511,484126511,way,"346,65"
w484126782,484126782,way,"179,23"
w484126783,484126783,way,"1018,47"
w484127281,484127281,way,"384,99"
w484127282,484127282,way,"391,85"
w484127283,484127283,way,"573,14"
w484128205,484128205,way,"256,96"
w484128207,484128207,way,"430,51"
w484128208,484128208,way,"277,35"
w484128210,484128210,way,"414,47"
w484129380,484129380,way,"500,18"
w484129381,484129381,way,"305,52"
w484129383,484129383,way,"192,63"
w484130354,484130354,way,"487,65"
w484130355,484130355,way,"203,49"
w484130356,484130356,way,"115,44"
w484130357,484130357,way,"230,1"
w484132540,484132540,way,"222,18"
w484132541,484132541,way,"254,43"
w484132542,484132542,way,"188,83"
w484132543,484132543,way,"188,61"
w484132544,484132544,way,"241,41"
w484132545,484132545,way,"245,5"
w484132912,484132912,way,"149,68"
w484132914,484132914,way,"162,31"
w484132917,484132917,way,"198,94"
w484132919,484132919,way,"412,88"
w484133405,484133405,way,"335,85"
w484133407,484133407,way,"181,7"
w484133991,484133991,way,"166,02"
w484133992,484133992,way,"161,49"
w484133993,484133993,way,"131,15"
w484133994,484133994,way,"210,81"
w484133995,484133995,way,"139,45"
w484133996,484133996,way,"158,64"
w484133997,484133997,way,"199,97"
w484133998,484133998,way,"214,94"
w484139827,484139827,way,"1153,35"
w484149718,484149718,way,"321,82"
w484149830,484149830,way,"1321,34"
w486177189,486177189,way,"143,97"
w486177190,486177190,way,"219,44"
w486177191,486177191,way,"151,7"
w486177192,486177192,way,"183,78"
w486177193,486177193,way,"527,48"
w486177194,486177194,way,"189,59"
w486177195,486177195,way,"357,56"
w486177196,486177196,way,"100,45"
w486177197,486177197,way,"242,58"
w486177198,486177198,way,"69,9"
w486177199,486177199,way,"272,59"
w486177200,486177200,way,"264,98"
w486177201,486177201,way,"159,44"
w486177202,486177202,way,"235,42"
w486177203,486177203,way,"202,61"
w486177204,486177204,way,"267,73"
w486177205,486177205,way,"105,11"
w486177608,486177608,way,"502,28"
w486177609,486177609,way,"114,57"
w486177610,486177610,way,"64,4"
w486177611,486177611,way,"202,6"
w486178083,486178083,way,"153,08"
w486178084,486178084,way,"133,86"
w486178085,486178085,way,"184,94"
w486178086,486178086,way,"70,67"
w486178087,486178087,way,"300,91"
w486178088,486178088,way,"65,91"
w486178089,486178089,way,"263,5"
w486178090,486178090,way,"45,86"
w486178091,486178091,way,"109,68"
w486178092,486178092,way,"97,64"
w486178093,486178093,way,"110,91"
w486178094,486178094,way,"40,45"
w486178203,486178203,way,"83,95"
w486180355,486180355,way,"978,25"
w486180357,486180357,way,"589,8"
w486180358,486180358,way,"170,68"
w486184336,486184336,way,"421,43"
w486184338,486184338,way,"578,28"
w486184340,486184340,way,"342,15"
w486184343,486184343,way,"85,04"
w486184347,486184347,way,"600,3"
w486184349,486184349,way,"323,92"
w486185613,486185613,way,"231,05"
w486185614,486185614,way,"154,2"
w486185615,486185615,way,"140,85"
w486185616,486185616,way,"215,19"
w486185617,486185617,way,"105,44"
w486185618,486185618,way,"43,67"
w486185619,486185619,way,211
w486185620,486185620,way,"114,29"
w486186226,486186226,way,"248,83"
w486186227,486186227,way,"238,17"
w486186228,486186228,way,"124,52"
w486186229,486186229,way,"79,48"
w486186231,486186231,way,"680,62"
w486186232,486186232,way,"127,8"
w486186233,486186233,way,"120,8"
w486186234,486186234,way,"167,82"
w486186494,486186494,way,"232,25"
w486186495,486186495,way,"88,87"
w486186496,486186496,way,"84,15"
w486186498,486186498,way,"127,75"
w486187263,486187263,way,"198,34"
w486187264,486187264,way,"248,01"
w486187265,486187265,way,116
w486187266,486187266,way,"157,39"
w486187267,486187267,way,"168,32"
w486187268,486187268,way,"100,82"
w486187270,486187270,way,"209,39"
w486187271,486187271,way,"124,87"
w486187272,486187272,way,"280,31"
w486187274,486187274,way,"90,55"
w486187275,486187275,way,"187,9"
w486187276,486187276,way,"100,04"
w486244621,486244621,way,"1299,26"
w486244622,486244622,way,"520,16"
w486244623,486244623,way,"153,51"
w486244624,486244624,way,"149,4"
w486244625,486244625,way,"111,07"
w486244626,486244626,way,"857,25"
w486244627,486244627,way,"176,67"
w486244628,486244628,way,"206,38"
w486244629,486244629,way,"224,96"
w486244630,486244630,way,"132,17"
w486244631,486244631,way,"181,11"
w486244632,486244632,way,"124,99"
w486244633,486244633,way,"157,98"
w486244634,486244634,way,"218,4"
w486244786,486244786,way,"538,38"
w486244787,486244787,way,"132,64"
w486244788,486244788,way,"194,47"
w487707869,487707869,way,"520,57"
w487707870,487707870,way,"506,41"
w487707871,487707871,way,"193,36"
w487707872,487707872,way,"363,87"
w487707873,487707873,way,"271,22"
w487707875,487707875,way,"446,2"
w487707879,487707879,way,"536,01"
w487707881,487707881,way,"169,71"
w487707882,487707882,way,"640,61"
w487707883,487707883,way,"224,97"
w487707884,487707884,way,"199,96"
w487708422,487708422,way,"289,23"
w487708424,487708424,way,"275,86"
