time,Residential,Industrial,Commercial
20190123:1910,2.4382,7.506,16.1425
20190123:2010,2.1093,6.1827,13.9647
20190123:2110,1.8567,5.407,12.2925
20190123:2210,1.6742,4.9079,11.0842
20190123:2310,1.4711,4.6549,9.7393
20190124:0010,1.2828,4.6458,8.4927
20190124:0110,1.184,4.607,7.839
20190124:0210,1.1531,4.7002,7.634
20190124:0310,1.1573,4.7223,7.662
20190124:0410,1.1841,4.9522,7.8397
20190124:0510,1.2576,5.3546,8.3261
20190124:0610,1.4623,6.1672,9.6811
20190124:0710,1.8343,7.8081,12.1442
20190124:0810,2.2259,10.873,14.7366
20190124:0910,2.643,12.5816,17.4984
20190124:1010,2.908,12.9108,19.2531
20190124:1110,3.0204,12.9133,19.997
20190124:1210,3.0282,12.2514,20.0485
20190124:1310,2.9108,11.6962,19.2714
20190124:1410,2.8925,12.2964,19.1506
20190124:1510,2.7252,11.8062,18.0425
20190124:1610,2.6215,11.6157,17.3558
20190124:1710,2.6169,9.8818,17.3258
20190124:1810,2.5798,8.5362,17.0802
20190124:1910,2.4076,7.3229,15.9398
20190124:2010,2.1077,6.1655,13.9545
20190124:2110,1.8446,5.3203,12.2122
20190124:2210,1.6585,4.7529,10.9804
20190124:2310,1.4585,4.5717,9.6562
20190125:0010,1.2748,4.5138,8.4403
20190125:0110,1.1787,4.6135,7.8035
20190125:0210,1.1533,4.5774,7.6354
20190125:0310,1.1514,4.5813,7.6231
20190125:0410,1.1815,4.8697,7.8222
20190125:0510,1.2686,5.2698,8.3991
20190125:0610,1.4855,6.1166,9.8347
20190125:0710,1.8532,7.8809,12.2697
20190125:0810,2.2264,10.973,14.7405
20190125:0910,2.6629,12.7698,17.6304
20190125:1010,2.9027,12.8758,19.2175
20190125:1110,3.0048,12.8447,19.8939
20190125:1210,2.9928,11.9491,19.8141
20190125:1310,2.8854,11.1845,19.1034
20190125:1410,2.8659,11.7377,18.974
20190125:1510,2.7239,11.4306,18.0343
20190125:1610,2.6016,10.9355,17.2244
20190125:1710,2.5852,9.2775,17.1155
20190125:1810,2.5767,7.9346,17.0594
20190125:1910,2.3716,6.9168,15.7015
20190125:2010,2.0659,5.7156,13.6774
20190125:2110,1.8177,5.0258,12.0345
20190125:2210,1.6654,4.5872,11.0263
20190125:2310,1.4861,4.4106,9.8391
20190126:0010,1.3076,4.5046,8.657
20190126:0110,1.1932,4.4588,7.8999
20190126:0210,1.1468,4.5875,7.5925
20190126:0310,1.1332,4.542,7.5025
20190126:0410,1.1465,4.699,7.5907
20190126:0510,1.1969,4.9307,7.9242
20190126:0610,1.3149,5.3715,8.7053
20190126:0710,1.5313,5.9152,10.1384
20190126:0810,1.6906,6.6674,11.1931
20190126:0910,1.8963,7.0131,12.5545
20190126:1010,2.1022,7.1267,13.9179
20190126:1110,2.1962,7.1639,14.5401
20190126:1210,2.1766,6.7189,14.4104
20190126:1310,2.0785,6.1078,13.7612
20190126:1410,2.0234,5.8088,13.3962
20190126:1510,1.933,5.7536,12.798
20190126:1610,1.8693,5.5919,12.3757
20190126:1710,1.9173,5.5565,12.6937
20190126:1810,2.0307,5.5434,13.4444
20190126:1910,2.0061,5.3378,13.282
20190126:2010,1.865,4.9158,12.3475
20190126:2110,1.7177,4.5447,11.3721
20190126:2210,1.6179,4.3183,10.7114
20190126:2310,1.4966,4.2271,9.9087
20190127:0010,1.332,4.1257,8.8184
20190127:0110,1.2045,4.0684,7.9747
20190127:0210,1.1463,4.0465,7.5892
20190127:0310,1.1212,4.0527,7.4229
20190127:0410,1.1193,4.0582,7.4102
20190127:0510,1.1397,4.3454,7.5457
20190127:0610,1.2241,4.4009,8.1045
20190127:0710,1.3275,4.6349,8.789
20190127:0810,1.4425,5.0653,9.5506
20190127:0910,1.5591,5.263,10.3225
20190127:1010,1.758,5.4438,11.6389
20190127:1110,1.8691,5.4951,12.3748
20190127:1210,1.9042,5.4682,12.6068
20190127:1310,1.8836,5.3282,12.4709
20190127:1410,1.8591,5.2977,12.3082
20190127:1510,1.8221,5.2935,12.0635
20190127:1610,1.749,5.2153,11.5794
