time,P,G(i),H_sun,T2m,WS10m,Int
20190115:1710,0.0,0.0,0.0,2.04,0.55,0.0
20190115:1810,0.0,0.0,0.0,1.4,0.48,0.0
20190115:1910,0.0,0.0,0.0,1.29,0.55,0.0
20190115:2010,0.0,0.0,0.0,1.08,0.41,0.0
20190115:2110,0.0,0.0,0.0,1.14,0.62,0.0
20190115:2210,0.0,0.0,0.0,1.3,0.76,0.0
20190115:2310,0.0,0.0,0.0,1.61,0.83,0.0
20190116:0010,0.0,0.0,0.0,1.87,0.83,0.0
20190116:0110,0.0,0.0,0.0,0.94,0.83,0.0
20190116:0210,0.0,0.0,0.0,1.23,0.83,0.0
20190116:0310,0.0,0.0,0.0,1.42,0.76,0.0
20190116:0410,0.0,0.0,0.0,1.54,0.69,0.0
20190116:0510,0.0,0.0,0.0,1.49,0.62,0.0
20190116:0610,0.0,0.0,0.0,1.41,0.62,0.0
20190116:0710,74.34,118.65,5.35,1.17,0.48,0.0
20190116:0810,166.19,209.81,13.85,1.7,0.55,0.0
20190116:0910,344.52,415.65,20.67,2.64,0.9,0.0
20190116:1010,398.09,475.99,25.23,3.7,1.31,0.0
20190116:1110,396.28,475.7,27.01,4.28,1.52,0.0
20190116:1210,328.68,403.06,25.76,5.04,1.59,0.0
20190116:1310,229.39,303.49,21.67,5.24,1.52,0.0
20190116:1410,94.71,160.62,15.22,5.09,1.45,0.0
20190116:1510,16.38,31.7,6.98,4.69,1.1,0.0
20190116:1610,0.0,0.0,0.0,3.08,0.97,0.0
20190116:1710,0.0,0.0,0.0,2.95,0.9,0.0
20190116:1810,0.0,0.0,0.0,2.67,0.9,0.0
20190116:1910,0.0,0.0,0.0,2.65,0.83,0.0
20190116:2010,0.0,0.0,0.0,2.34,0.9,0.0
20190116:2110,0.0,0.0,0.0,2.11,0.9,0.0
20190116:2210,0.0,0.0,0.0,1.63,0.97,0.0
20190116:2310,0.0,0.0,0.0,1.25,0.9,0.0
